City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,73.0,54,28,2.51,US,2020-09-06 15:50:36
1,Walvis Bay,-22.96,14.51,64.4,59,0,12.75,NA,2020-09-06 15:56:19
2,Ikalamavony,-21.15,46.58,60.64,66,51,9.75,MG,2020-09-06 15:56:53
3,Monywa,22.12,95.13,85.14,73,97,7.85,MM,2020-09-06 15:56:53
4,Manacapuru,-3.3,-60.62,95.0,41,60,3.36,BR,2020-09-06 15:56:53
5,Qrendi,35.83,14.46,82.4,65,20,14.99,MT,2020-09-06 15:56:54
6,Cape Town,-33.93,18.42,68.0,49,2,10.29,ZA,2020-09-06 15:53:22
7,Hermanus,-34.42,19.23,63.0,67,16,5.01,ZA,2020-09-06 15:54:23
8,Pisco,-13.7,-76.22,63.0,82,90,6.93,PE,2020-09-06 15:55:51
9,Punta Arenas,-53.15,-70.92,42.8,81,75,13.87,CL,2020-09-06 15:49:37
10,Port Alfred,-33.59,26.89,62.76,82,88,12.48,ZA,2020-09-06 15:54:22
11,Waipawa,-41.41,175.52,51.8,81,98,23.04,NZ,2020-09-06 15:55:49
12,Victoria,22.29,114.16,84.0,79,95,8.01,HK,2020-09-06 15:54:10
13,Georgetown,5.41,100.34,82.4,83,40,2.24,MY,2020-09-06 15:55:31
14,Adrar,20.5,-10.07,97.79,28,73,10.65,MR,2020-09-06 15:56:55
15,Kasongo-Lunda,-6.47,16.82,90.48,36,59,4.12,CD,2020-09-06 15:56:56
16,New Norfolk,-42.78,147.06,50.0,55,100,1.01,AU,2020-09-06 15:56:25
17,Ancud,-41.87,-73.82,48.0,96,0,1.99,CL,2020-09-06 15:54:27
18,Castro,-24.79,-50.01,82.33,32,1,10.51,BR,2020-09-06 15:54:37
19,Jamestown,42.1,-79.24,66.99,77,1,5.82,US,2020-09-06 15:54:42
20,Bluff,-46.6,168.33,45.0,72,76,11.01,NZ,2020-09-06 15:54:28
21,Norman Wells,65.28,-126.83,42.8,100,75,8.05,CA,2020-09-06 15:56:13
22,Okhotsk,59.38,143.3,51.46,89,92,7.49,RU,2020-09-06 15:56:13
23,Rikitea,-23.12,-134.97,72.77,82,4,15.97,PF,2020-09-06 15:54:35
24,Busselton,-33.65,115.33,55.0,62,100,20.38,AU,2020-09-06 15:54:35
25,Bredasdorp,-34.53,20.04,62.6,55,36,13.87,ZA,2020-09-06 15:54:28
26,Hofn,64.25,-15.21,50.0,93,90,6.93,IS,2020-09-06 15:56:57
27,Rona De Sus,47.9,24.05,81.0,51,25,3.36,RO,2020-09-06 15:56:57
28,Chokurdakh,70.63,147.92,38.17,77,22,6.42,RU,2020-09-06 15:55:53
29,Hudiksvall,61.73,17.1,66.99,43,36,2.71,SE,2020-09-06 15:56:58
30,Barrow,71.29,-156.79,37.4,93,90,8.05,US,2020-09-06 15:56:11
31,Saint-Philippe,-21.36,55.77,69.8,83,22,5.82,RE,2020-09-06 15:55:27
32,Kieta,-6.22,155.63,79.11,75,5,0.49,PG,2020-09-06 15:56:56
33,Esperance,-33.87,121.9,59.0,82,90,12.75,AU,2020-09-06 15:56:26
34,Manakara,-22.13,48.02,65.68,80,2,7.07,MG,2020-09-06 15:56:58
35,Ercis,39.03,43.36,78.8,41,20,9.17,TR,2020-09-06 15:56:58
36,Vaini,-21.2,-175.2,69.8,73,75,10.29,TO,2020-09-06 15:55:24
37,Kathmandu,27.72,85.32,73.4,88,75,5.82,NP,2020-09-06 15:52:56
38,Dovolnoye,54.5,79.67,43.63,87,80,5.37,RU,2020-09-06 15:56:59
39,Mubende,0.56,31.39,66.16,94,100,1.19,UG,2020-09-06 15:56:59
40,Gat,31.61,34.76,87.01,60,0,12.53,IL,2020-09-06 15:56:59
41,Hithadhoo,-0.6,73.08,82.18,76,92,10.47,MV,2020-09-06 15:55:59
42,Ushuaia,-54.8,-68.3,42.8,75,40,19.46,AR,2020-09-06 15:54:35
43,Luderitz,-26.65,15.16,66.67,53,0,27.02,NA,2020-09-06 15:54:27
44,Gallup,35.53,-108.74,66.2,32,1,9.6,US,2020-09-06 15:57:00
45,Pacific Grove,36.62,-121.92,71.6,56,1,6.06,US,2020-09-06 15:52:18
46,Saskylakh,71.92,114.08,40.86,88,55,6.98,RU,2020-09-06 15:55:41
47,Carnarvon,-24.87,113.63,66.2,82,100,5.82,AU,2020-09-06 15:50:53
48,Butaritari,3.07,172.79,83.03,71,100,18.66,KI,2020-09-06 15:54:37
49,Voznesenye,61.01,35.48,59.32,94,100,7.43,RU,2020-09-06 15:57:01
50,Ust-Uda,54.17,103.03,46.44,71,0,2.93,RU,2020-09-06 15:57:01
51,Upernavik,72.79,-56.15,36.52,78,98,10.02,GL,2020-09-06 15:55:27
52,Les Cayes,18.2,-73.75,87.28,60,82,5.79,HT,2020-09-06 15:57:01
53,Qaanaaq,77.48,-69.36,29.82,83,14,2.62,GL,2020-09-06 15:55:29
54,Ossora,59.24,163.07,44.44,81,100,7.83,RU,2020-09-06 15:57:01
